smiles,selfies
Cn1c(=O)c2[nH]c(Br)nc2n(C)c1=O,[C][N][C][=Branch1][C][=O][C][NH1][C][Branch1][C][Br][=N][C][=Ring1][=Branch1][N][Branch1][C][C][C][Ring1][N][=O]
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][Branch1][N][C][Branch1][C][O][=C][Ring1][Branch2][C][Ring1][=N][=O][C][C@@][Branch1][C][O][Branch1][#Branch1][C][=Branch1][C][=O][C][O][C][C@@H1][Ring1][S][O][C@H1][C][C@H1][Branch1][C][N][C@H1][Branch1][C][O][C@H1][Branch1][C][C][O][Ring1][=Branch2]
CC(C=O)Cc1ccc(C(C)C)cc1,[C][C][Branch1][Ring1][C][=O][C][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2]
COc1ccc(OC)c(Cl)c1,[C][O][C][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][C][Cl][=C][Ring1][=Branch2]
CCCCC(CC)(CO)CO,[C][C][C][C][C][Branch1][Ring1][C][C][Branch1][Ring1][C][O][C][O]
NC(=O)c1ccc([N+](=O)[O-])cc1Cl,[N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][Cl]
Nc1cccnc1,[N][C][=C][C][=C][N][=C][Ring1][=Branch1]
CC(C)OCCO,[C][C][Branch1][C][C][O][C][C][O]
CC(C)CCO,[C][C][Branch1][C][C][C][C][O]
C=C(C)C(=O)OCC(C)C,[C][=C][Branch1][C][C][C][=Branch1][C][=O][O][C][C][Branch1][C][C][C]
COS(=O)(=O)[O-].C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,[C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1].[C][N+1][Branch1][C][C][C][C][C][=Branch2][Ring1][Ring2][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Ring2]
CC(=O)c1ccc([N+](=O)[O-])cc1,[C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2]
Nc1cccc([N+](=O)[O-])c1,[N][C][=C][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][=Branch2]
CC(=O)CCl,[C][C][=Branch1][C][=O][C][Cl]
C=C(C)c1ccccc1,[C][=C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
O=C(Cl)c1c(Cl)cccc1Cl,[O][=C][Branch1][C][Cl][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][Cl]
C1CN(CCOCCN2CCOCC2)CCO1,[C][C][N][Branch1][=C][C][C][O][C][C][N][C][C][O][C][C][Ring1][=Branch1][C][C][O][Ring1][P]
COc1ccc(C=O)cc1OC,[C][O][C][=C][C][=C][Branch1][Ring1][C][=O][C][=C][Ring1][Branch2][O][C]
CCOC(=O)CC,[C][C][O][C][=Branch1][C][=O][C][C]
C=CC(=O)NC(C)(C)C,[C][=C][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C]
COC(=O)CCCCC(=O)OC,[C][O][C][=Branch1][C][=O][C][C][C][C][C][=Branch1][C][=O][O][C]
COCCOC(=O)c1ccccc1C(=O)OCCOC,[C][O][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][C][O][C]
COc1cc(CCN)cc(OC)c1OC,[C][O][C][=C][C][Branch1][Ring2][C][C][N][=C][C][Branch1][Ring1][O][C][=C][Ring1][O][O][C]
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],[C][C][C][N][Branch1][Ring2][C][C][C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][=N][N+1][=Branch1][C][=O][O-1]
CN1C(=O)OC(C)(C)C1=O,[C][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][Ring1][Branch2][=O]
Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1,[C][C][=C][C][=C][Branch2][Ring1][S][O][P][=Branch1][C][=O][Branch1][=N][O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][=Branch2]
ClCC(Cl)CCl,[Cl][C][C][Branch1][C][Cl][C][Cl]
OCCOCCOCCO,[O][C][C][O][C][C][O][C][C][O]
OCCN(CCO)CCO,[O][C][C][N][Branch1][Ring2][C][C][O][C][C][O]
CC(C)NCC(O)c1ccc(O)c(O)c1,[C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2]
Cc1cc(C)c(N)cc1C,[C][C][=C][C][Branch1][C][C][=C][Branch1][C][N][C][=C][Ring1][Branch2][C]
N#CN,[N][#C][N]
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,[C][N][C][Branch1][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=N][Ring1][=Branch1][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring2][Ring1][Ring2][=Branch1][C][=O][=O]
CC(=O)Nc1ccccc1C,[C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C]
CC(=O)Nc1cccc(C)c1,[C][C][=Branch1][C][=O][N][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1]
CC1=C2[C@H](/C=C(\C)C(=O)O)CC[C@@H](C)[C@H]2[C@H](O)C1,[C][C][=C][C@H1][Branch1][O][/C][=C][Branch1][C][\C][C][=Branch1][C][=O][O][C][C][C@@H1][Branch1][C][C][C@H1][Ring1][=N][C@H1][Branch1][C][O][C][Ring1][P]
Cl[In](Cl)Cl,[Cl][In][Branch1][C][Cl][Cl]
CCCCOC(=O)CO,[C][C][C][C][O][C][=Branch1][C][=O][C][O]
CN(C1CCCCC1)C1CCCCC1,[C][N][Branch1][=Branch2][C][C][C][C][C][C][Ring1][=Branch1][C][C][C][C][C][C][Ring1][=Branch1]
Cc1ccnc(N)c1,[C][C][=C][C][=N][C][Branch1][C][N][=C][Ring1][#Branch1]
CN(C)C(C)(C)CO,[C][N][Branch1][C][C][C][Branch1][C][C][Branch1][C][C][C][O]
CC(=O)O[AlH3](O)O,[C][C][=Branch1][C][=O][O][AlH3][Branch1][C][O][O]
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,[C][C][Branch1][C][C][C][C][Branch1][Ring2][N][=C][=O][C][C][Branch1][C][C][Branch1][Branch1][C][N][=C][=O][C][Ring1][#C]
COS(=O)(=O)[O-],[C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1]
CCCCC(CC)COC(=O)/C=C/c1ccc(OC)cc1,[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][/C][=C][/C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2]
COCCOC(=O)CC#N,[C][O][C][C][O][C][=Branch1][C][=O][C][C][#N]
COC(C)=O,[C][O][C][Branch1][C][C][=O]
CC(C)c1cc(C(C)C)cc(C(C)C)c1,[C][C][Branch1][C][C][C][=C][C][Branch1][=Branch1][C][Branch1][C][C][C][=C][C][Branch1][=Branch1][C][Branch1][C][C][C][=C][Ring1][N]
NCC1CCCC(CN)C1,[N][C][C][C][C][C][C][Branch1][Ring1][C][N][C][Ring1][Branch2]
CC(O)CC(C)O,[C][C][Branch1][C][O][C][C][Branch1][C][C][O]
c1ccc(OCCOc2ccccc2)cc1,[C][=C][C][=C][Branch1][=N][O][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][S]
CCCNC(C)C(=O)Nc1ccccc1C,[C][C][C][N][C][Branch1][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C]
c1ccc2c(c1)ccc1ccccc12,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][O]
CN1C(=O)N(C)C(O)C1O,[C][N][C][=Branch1][C][=O][N][Branch1][C][C][C][Branch1][C][O][C][Ring1][Branch2][O]
CC(C)c1ccc(S(=O)(=O)O)cc1,[C][C][Branch1][C][C][C][=C][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O][C][=C][Ring1][#Branch2]
COCCOCCOC,[C][O][C][C][O][C][C][O][C]
O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1,[O][=C][Branch1][C][O][C][=N][N][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O][C][=C][Ring1][#Branch2][C][=Branch1][C][=O][C][Ring1][S]
CCOC(=O)NC(C)(C)Cc1ccc(Cl)cc1,[C][C][O][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1]
CC(=O)C(=O)[O-],[C][C][=Branch1][C][=O][C][=Branch1][C][=O][O-1]
CC(=O)OC1C2(C)CCC(C2)C1(C)C,[C][C][=Branch1][C][=O][O][C][C][Branch1][C][C][C][C][C][Branch1][Ring2][C][Ring1][=Branch1][C][Ring1][Branch2][Branch1][C][C][C]
O=S(=O)([O-])[O-].[Li+].[Li+],[O][=S][=Branch1][C][=O][Branch1][C][O-1][O-1].[Li+1].[Li+1]
CCCCCBr,[C][C][C][C][C][Br]
CCCC[n+]1ccc(C)cc1,[C][C][C][C][N+1][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1]
COC(=O)Nc1nc2cc(S(=O)c3ccccc3)ccc2[nH]1,[C][O][C][=Branch1][C][=O][N][C][=N][C][=C][C][Branch1][=N][S][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][C][=C][Ring1][=C][NH1][Ring1][P]
CC1CCC(=O)C1=O,[C][C][C][C][C][=Branch1][C][=O][C][Ring1][=Branch1][=O]
CCN1C(=O)c2ccccc2C1Nc1ccc(OCCN2CCCCC2)cc1,[C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][N][C][=C][C][=C][Branch1][N][O][C][C][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring1][#C]
O=C1CCCCCCCCCCOCCCCO1,[O][=C][C][C][C][C][C][C][C][C][C][C][O][C][C][C][C][O][Ring1][P]
CSSc1ccoc1C,[C][S][S][C][C][=C][O][C][=Ring1][Branch1][C]
Cc1occc(=O)c1OC(=O)C(C)C,[C][C][O][C][=C][C][=Branch1][C][=O][C][=Ring1][#Branch1][O][C][=Branch1][C][=O][C][Branch1][C][C][C]
CCC(=O)OCc1ccc(OC)cc1,[C][C][C][=Branch1][C][=O][O][C][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2]
CCCC1CCOC(C)S1,[C][C][C][C][C][C][O][C][Branch1][C][C][S][Ring1][#Branch1]
CC(C)NCC(O)c1ccc([N+](=O)[O-])cc1,[C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2]
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,[O][=C][C][C][Branch1][#Branch1][C][C][C][C][Ring1][Branch1][C][C][=Branch1][C][=O][N][Ring1][O][C][C][C][C][N][C][C][N][Branch1][=Branch2][C][=N][C][=C][C][=N][Ring1][=Branch1][C][C][Ring1][N]
CS(=O)(=O)Cl,[C][S][=Branch1][C][=O][=Branch1][C][=O][Cl]
Cc1cccc(C(=O)O)c1,[C][C][=C][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][Ring1][=Branch2]
O=C(O)c1cccc(O)c1,[O][=C][Branch1][C][O][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1]
Cc1ccc(C(=O)O)cc1,[C][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][=Branch2]
CC(=O)OC(C)(C)C1CC=C(C)CC1,[C][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][C][=C][Branch1][C][C][C][C][Ring1][#Branch1]
Cl[Si](Cl)(c1ccccc1)c1ccccc1,[Cl][Si][Branch1][C][Cl][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
COCCOC,[C][O][C][C][O][C]
CCOCCOCC,[C][C][O][C][C][O][C][C]
O=C(O)CCC(=O)C(=O)O,[O][=C][Branch1][C][O][C][C][C][=Branch1][C][=O][C][=Branch1][C][=O][O]
C[N+](=O)[O-],[C][N+1][=Branch1][C][=O][O-1]
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,[O][=N+1][Branch1][C][O-1][C][=C][C][=C][Branch1][=C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl][C][=C][Ring1][#C]
CCCCC(CC)CO,[C][C][C][C][C][Branch1][Ring1][C][C][C][O]
C1CC2OC2CC1C1CO1,[C][C][C][O][C][Ring1][Ring1][C][C][Ring1][#Branch1][C][C][O][Ring1][Ring1]
CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,[C][C][Branch1][C][C][N][Branch2][Ring1][Branch2][C][=Branch1][C][=O][C][O][C][=N][N][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][S][Ring1][=Branch2][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1]
CCN(Cc1c(F)cccc1Cl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],[C][C][N][Branch1][=C][C][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][Cl][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][=N][N+1][=Branch1][C][=O][O-1]
COC(=O)CSc1cc(/N=c2\sc(=O)n3n2CCCC3)c(F)cc1Cl,[C][O][C][=Branch1][C][=O][C][S][C][=C][C][Branch2][Ring1][C][/N][=C][\S][C][=Branch1][C][=O][N][N][Ring1][=Branch1][C][C][C][C][Ring1][=Branch1][=C][Branch1][C][F][C][=C][Ring2][Ring1][C][Cl]
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,[C][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=C][O][C][C][Branch1][C][O][C][N][C][Branch1][C][C][C][C][Branch1][=Branch1][C][Branch1][C][C][=O][=C][Ring2][Ring1][C]
Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1,[C][C][=C][C][Branch2][Ring1][=C][N][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][Ring1][=N][C][=N][O][Ring2][Ring1][=Branch1]
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,[C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][S][Ring1][Branch1][C][=C][Ring1][=N]
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F]
CNC(=O)Oc1ccccc1OC(C)C,[C][N][C][=Branch1][C][=O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Branch1][C][C][C]
CCCCCCCCCCO,[C][C][C][C][C][C][C][C][C][C][O]
CCCCCCCCCCCCCO,[C][C][C][C][C][C][C][C][C][C][C][C][C][O]
CCCCCCCCO,[C][C][C][C][C][C][C][C][O]
CCOCCOCCO,[C][C][O][C][C][O][C][C][O]
CCCCCCCCCC(C)=O,[C][C][C][C][C][C][C][C][C][C][Branch1][C][C][=O]
CC12CCCC=C1C(=O)OC2=O,[C][C][C][C][C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][Ring1][#Branch2][=O]
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,[O][=C][C][Branch1][#C][C][C][S][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring2][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,[C][O][C][=C][C][Branch2][Ring1][Ring2][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=N][C][Branch1][C][C][=N][Ring2][Ring1][C]
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,[C][C][=N][N][=C][Branch2][Ring1][Ring2][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][S][Ring1][S]
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,[C][C][=C][C][=N][C][Branch2][Ring1][Ring2][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=N][Ring1][P]
COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,[C][O][C][=C][N][=C][Branch2][Ring1][Ring2][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][N][=C][Ring1][P]
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,[C][O][C][=C][C][=C][Branch2][Ring1][Ring2][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][N][=N][Ring1][P]
CC(=O)CC(=O)Nc1ccccc1,[C][C][=Branch1][C][=O][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1]
CC(=O)O,[C][C][=Branch1][C][=O][O]
CC(=O)OC(C)=O,[C][C][=Branch1][C][=O][O][C][Branch1][C][C][=O]
CC(=O)Nc1ccc(C(=O)O)cc1,[C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][=Branch2]
CC(=O)C(C)O,[C][C][=Branch1][C][=O][C][Branch1][C][C][O]
CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)cc1,[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][S][C][=Branch1][C][=O][O][C][C][Branch1][Ring1][C][C][C][C][C][C][C][=C][Ring1][P]
CCC(C)S,[C][C][C][Branch1][C][C][S]
Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1,[N][C][=C][C][=C][Branch1][P][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][S]
Cc1c(Cn2ccnc2)c2ccccc2n1CCC(=O)O,[C][C][=C][Branch1][=Branch2][C][N][C][=C][N][=C][Ring1][Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][#C][C][C][C][=Branch1][C][=O][O]
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,[C][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][S][O][C][=N][C][Branch1][C][C][=C][C][Branch1][C][C][=N][Ring1][Branch2][C][=Branch1][C][=O][O]
CN1CCN(C(=O)C2CCCCC2)CC1,[C][N][C][C][N][Branch1][=N][C][=Branch1][C][=O][C][C][C][C][C][C][Ring1][=Branch1][C][C][Ring1][=C]
O=[N+]([O-])c1cccc(I)c1,[O][=N+1][Branch1][C][O-1][C][=C][C][=C][C][Branch1][C][I][=C][Ring1][#Branch1]
CCCCCCCCCCCCCCCCCCO,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][O]
CCCCCCCCCCCCCCCC(=O)OC,[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C]
COC(=O)CC(=O)OC,[C][O][C][=Branch1][C][=O][C][C][=Branch1][C][=O][O][C]
CN1CCOCC1,[C][N][C][C][O][C][C][Ring1][=Branch1]
CCCC(C)C,[C][C][C][C][Branch1][C][C][C]
[Ni+2].c1cc[cH-]c1.c1cc[cH-]c1,[Ni+2].[C][C][=C][CH1-1][C][=Ring1][Branch1].[C][C][=C][CH1-1][C][=Ring1][Branch1]
CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,[C][N][C][C][C][C@@H1][Ring1][Branch1][C][C][=C][NH1][C][=C][C][=C][Branch2][Ring1][C][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][Ring2][Ring1][P]
N=C(N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,[N][=C][Branch1][C][N][N][C][C][C][C@H1][Branch2][#Branch1][P][N][C][=Branch1][C][=O][C@@H1][C][C][C][N][Ring1][Branch1][C][=Branch1][C][=O][C@@H1][C][S][S][C][C][C][=Branch1][C][=O][N][C@@H1][Branch1][=N][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch1][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][N][Ring2][Ring2][P][C][=Branch1][C][=O][N][C][C][Branch1][C][N][=O]
COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,[C][O][C][=Branch1][C][=O][C@H1][C@@H1][Branch1][C][O][C][C][C@H1][C][N][C][C][C][=C][Branch1][N][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][C@@H1][Ring1][=N][C][C@@H1][Ring1][P][Ring2][Ring1][=Branch1]
c1cnc2cc3c(cc2n1)C1CNCC3C1,[C][=C][N][=C][C][=C][C][=Branch1][Branch2][=C][C][Ring1][=Branch1][=N][Ring1][#Branch2][C][C][N][C][C][Ring1][#Branch2][C][Ring1][=Branch1]
O=C(O)C(Cl)(Cl)Cl,[O][=C][Branch1][C][O][C][Branch1][C][Cl][Branch1][C][Cl][Cl]
FC(F)(Cl)C(F)(Cl)Cl,[F][C][Branch1][C][F][Branch1][C][Cl][C][Branch1][C][F][Branch1][C][Cl][Cl]
CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,[C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][Branch1][=C][C][O][C][=Branch1][C][=O][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][C][C][C][C][C][C]
BrC(Br)Br,[Br][C][Branch1][C][Br][Br]
Cc1cc(=O)n(-c2ccccc2)n1C,[C][C][=C][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][N][C]
CCOc1ccc(NC(C)=O)cc1,[C][C][O][C][=C][C][=C][Branch1][#Branch1][N][C][Branch1][C][C][=O][C][=C][Ring1][#Branch2]
CC/C=C/CCO,[C][C][/C][=C][/C][C][O]
O=Cc1ccc(Cl)cc1Cl,[O][=C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl]
c1ccc(SSc2ccccc2)cc1,[C][=C][C][=C][Branch1][O][S][S][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=C]
CC/C=C\CCO,[C][C][/C][=C][\C][C][O]
COP(=O)(NC(C)=O)SC,[C][O][P][=Branch1][C][=O][Branch1][#Branch1][N][C][Branch1][C][C][=O][S][C]
N#Cc1ccc(Cl)cc1,[N][#C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1]
CC(C)CCCC(=O)O,[C][C][Branch1][C][C][C][C][C][C][=Branch1][C][=O][O]
COC(=O)c1ccccc1Cl,[C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl]
C=C[Si](C)(C)O[Si](C)(C)C=C,[C][=C][Si][Branch1][C][C][Branch1][C][C][O][Si][Branch1][C][C][Branch1][C][C][C][=C]
CCCC(C)(COC(N)=O)COC(N)=O,[C][C][C][C][Branch1][C][C][Branch1][Branch2][C][O][C][Branch1][C][N][=O][C][O][C][Branch1][C][N][=O]
Cc1cc(C)cc(OCC2CNC(=O)O2)c1,[C][C][=C][C][Branch1][C][C][=C][C][Branch1][=N][O][C][C][C][N][C][=Branch1][C][=O][O][Ring1][=Branch1][=C][Ring1][#C]
O=C(O[C@@H](C(=O)O)[C@@H](OC(=O)c1ccccc1)C(=O)O)c1ccccc1,[O][=C][Branch2][Ring1][#C][O][C@@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][C@@H1][Branch1][=C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][=C][C][=C][C][=C][Ring1][=Branch1]
CNC.O=C(O)COc1ccc(Cl)cc1Cl,[C][N][C].[O][=C][Branch1][C][O][C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl]
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,[N][C][C][=C][N][Branch1][S][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring1][Branch2][O][C][=Branch1][C][=O][N][=Ring1][S]
Cc1ccc(C(C)(C)O)cc1,[C][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][O][C][=C][Ring1][#Branch2]
CCCC(=O)OC(=O)CCC,[C][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][C][C][C]
