smiles,smi_mac_fragments,selfies,NR-AR
Cc1cc(=O)nc(C(C)C)[nH]1,"[12*]c1nc(=O)cc(C)[nH]1,[6*]C(C)C",[C][C][=C][C][=Branch1][C][=O][N][=C][Branch1][=Branch1][C][Branch1][C][C][C][NH1][Ring1][#Branch2],0
CC1(C)CC(N)CC(C)(CN)C1,"[13*]C1(C)CC(N)CC(C)(C)C1,[6*]CN",[C][C][Branch1][C][C][C][C][Branch1][C][N][C][C][Branch1][C][C][Branch1][Ring1][C][N][C][Ring1][O],0
CCCOCCO,"[3*]CCC,[2*]O[2*],[3*]CCO",[C][C][C][O][C][C][O],0
COC(=O)CCS,"[1*]C(=O)CCS,[2*]OC",[C][O][C][=Branch1][C][=O][C][C][S],0
CC[C@H](NC(C)C)[C@H](O)c1ccc(O)c2[nH]c(=O)ccc12,"[14*]c1ccc(O)c2[nH]c(=O)ccc12,[3*]C(C)C,[4*]N[4*],[3*][C@H](CC)[C@@H]([6*])O",[C][C][C@H1][Branch1][#Branch1][N][C][Branch1][C][C][C][C@H1][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][NH1][C][=Branch1][C][=O][C][=C][C][Ring1][N][=Ring1][#Branch1],0
CCCCCC/C=C/C(=O)OC,"[1*]C(=O)C=[5*],[5*]=CCCCCCC,[2*]OC",[C][C][C][C][C][C][/C][=C][/C][=Branch1][C][=O][O][C],0
CCCCCCCC(=O)OCCCCCC,"[2*]O[2*],[1*]C(=O)CCCCCCC,[3*]CCCCCC",[C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][C][C][C][C],0
CCCCCCCC/C=C\CCCCCCCC(=O)OCC,"[5*]=CCCCCCCCC,[2*]O[2*],[3*]CC,[1*]C(=O)CCCCCCCC=[5*]",[C][C][C][C][C][C][C][C][/C][=C][\C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C],0
CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc21,"[1*]C(=O)C[3*],[4*]N1CCCCC1[11*],[4*]N1c2ccccc2C(=O)Nc2cccnc21,[3*]CC,[3*]C[6*],[4*]N([4*])[4*]",[C][C][N][Branch1][Ring1][C][C][C][C][C][C][C][C][N][Ring1][=Branch1][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][N][=C][Ring1][=Branch1][Ring1][S],0
CC1(C)Oc2ccc(C#N)cc2[C@@H](N2CCCC2=O)[C@@H]1O,"[8*]N1CCCC1=O,[6*][C@H]1c2cc(C#N)ccc2OC(C)(C)[C@H]1O",[C][C][Branch1][C][C][O][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C@@H1][Branch1][=Branch2][N][C][C][C][C][Ring1][Branch1][=O][C@@H1][Ring2][Ring1][Ring1][O],0
CCCN1C=CN(C)C1,"[3*]CCC,[4*]N1C=CN(C)C1",[C][C][C][N][C][=C][N][Branch1][C][C][C][Ring1][=Branch1],0
Cc1ncsc1CCCl,"[6*]CCCl,[12*]c1scnc1C",[C][C][N][=C][S][C][=Ring1][Branch1][C][C][Cl],0
Clc1cccc(Cl)c1N=C1NCCN1,Clc1cccc(Cl)c1N=C1NCCN1,[Cl][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][N][=C][N][C][C][N][Ring1][Branch1],0
Nc1ccc2ccccc2c1S(=O)(=O)O,Nc1ccc2ccccc2c1S(=O)(=O)O,[N][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O],0
O=[N+]([O-])c1ccc(Cl)cc1,O=[N+]([O-])c1ccc(Cl)cc1,[O][=N+1][Branch1][C][O-1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],0
CCCCOC(O)CC,"[2*]O[2*],[3*]C(O)CC,[3*]CCCC",[C][C][C][C][O][C][Branch1][C][O][C][C],0
CCCCCCCCCCCCOS(=O)(=O)[O-],"[3*]CCCCCCCCCCCC,[2*]OS(=O)(=O)[O-]",[C][C][C][C][C][C][C][C][C][C][C][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1],0
CCCCC(CC)COS(=O)(=O)[O-],"[3*]CC(CC)CCCC,[2*]OS(=O)(=O)[O-]",[C][C][C][C][C][Branch1][Ring1][C][C][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O-1],0
CC(C)(CO)[C@@H](O)C(=O)NCCCO,"[3*]CCCO,[1*]C(=O)[C@H](O)C(C)(C)CO,[4*]N[4*]",[C][C][Branch1][C][C][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C][=Branch1][C][=O][N][C][C][C][O],0
C/C=C(\C)C(=O)OC/C=C(\C)CCC=C(C)C,"[5*]=C(C)C,[2*]O[2*],[3*]CC=[5*],[5*]=CC,[1*]C(=O)C(=[5*])C,[5*]=CCCC(=[5*])C",[C][/C][=C][Branch1][C][\C][C][=Branch1][C][=O][O][C][/C][=C][Branch1][C][\C][C][C][C][=C][Branch1][C][C][C],0
CC1=C(C=O)C(C)(C)CCC1,CC1=C(C=O)C(C)(C)CCC1,[C][C][=C][Branch1][Ring1][C][=O][C][Branch1][C][C][Branch1][C][C][C][C][C][Ring1][#Branch2],0
CC(C)=CC(=O)O,"[5*]=CC(=O)O,[5*]=C(C)C",[C][C][Branch1][C][C][=C][C][=Branch1][C][=O][O],0
CN1CCCC1,CN1CCCC1,[C][N][C][C][C][C][Ring1][Branch1],0
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,"[14*]c1cc([As](=O)(O)O)ccc1O,[4*]N[4*],[1*]C(C)=O",[C][C][=Branch1][C][=O][N][C][=C][C][Branch1][=Branch2][As][=Branch1][C][=O][Branch1][C][O][O][=C][C][=C][Ring1][#Branch2][O],0
CCCCCC1CCC(=O)O1,"[6*]CCCCC,[11*]C1CCC(=O)O1",[C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][Ring1][=Branch1],0
CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N,"[14*]c1ccc([14*])c(N)c1,[3*]CC[3*],[3*]CCC,[2*]O[2*],[3*]CC,[1*]C([1*])=O,[4*]N([4*])[4*]",[C][C][C][O][C][=C][C][=C][Branch1][#C][C][=Branch1][C][=O][O][C][C][N][Branch1][Ring1][C][C][C][C][C][=C][Ring1][S][N],0
COC(=O)C(Cl)C(=O)OC,"[1*]C(=O)C(Cl)C([1*])=O,[2*]OC",[C][O][C][=Branch1][C][=O][C][Branch1][C][Cl][C][=Branch1][C][=O][O][C],0
CC(C)(C)N,CC(C)(C)N,[C][C][Branch1][C][C][Branch1][C][C][N],0
O=C1CCCCCCCCCCCN1,"[6*]CCCCCCCCCCC[13*],[1*]C([1*])=O,[8*]N[8*]",[O][=C][C][C][C][C][C][C][C][C][C][C][C][N][Ring1][=N],0
Cc1cccc(C(=O)O)c1O,"[14*]c1cccc(C)c1O,[1*]C(=O)O",[C][C][=C][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][Ring1][=Branch2][O],0
NCCOCCO,"[2*]O[2*],[3*]CCN,[3*]CCO",[N][C][C][O][C][C][O],0
[S-]c1ccccc1,[S-]c1ccccc1,[S-1][C][=C][C][=C][C][=C][Ring1][=Branch1],0
CC(C)(C)c1ccc(C=O)cc1,"[6*]C(C)(C)C,[14*]c1ccc(C=O)cc1",[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch1][Ring1][C][=O][C][=C][Ring1][Branch2],0
CC[N+]1(CC)CCC(=C(c2ccccc2)c2ccccc2)C1C,"[5*]=C(c1ccccc1)c1ccccc1,[4*][N+]1([4*])CCC(=[5*])C1C,[3*]CC",[C][C][N+1][Branch1][Ring1][C][C][C][C][C][=Branch2][Ring1][Ring2][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][Ring2][C],0
O=C1c2c(O)cccc2Cc2cccc(O)c21,O=C1c2c(O)cccc2Cc2cccc(O)c21,[O][=C][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1][C][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][Ring1][S],0
COc1ccc(N)cc1,"[14*]c1ccc(N)cc1,[2*]OC",[C][O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1],0
CC(C)c1cccc(C(C)C)c1N,"[14*]c1cccc([14*])c1N,[6*]C(C)C",[C][C][Branch1][C][C][C][=C][C][=C][C][Branch1][=Branch1][C][Branch1][C][C][C][=C][Ring1][=Branch2][N],0
C=CCCCCCCCCC=O,C=CCCCCCCCCC=O,[C][=C][C][C][C][C][C][C][C][C][C][=O],0
CCO[Si](OCC)(OCC)c1ccccc1,"[2*]O[Si](O[2*])(O[2*])c1ccccc1,[3*]CC",[C][C][O][Si][Branch1][Ring2][O][C][C][Branch1][Ring2][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],0
C=CCOc1nc(OCC=C)nc(OCC=C)n1,"[2*]O[2*],[12*]c1nc([12*])nc([12*])n1,[3*]CC=C",[C][=C][C][O][C][=N][C][Branch1][Branch1][O][C][C][=C][=N][C][Branch1][Branch1][O][C][C][=C][=N][Ring1][=C],0
NCCOS(=O)(=O)O,"[3*]CCN,[2*]OS(=O)(=O)O",[N][C][C][O][S][=Branch1][C][=O][=Branch1][C][=O][O],0
NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CC[C@H]2C(=O)O,"NC(CO)(CO)CO,[1*]C([1*])=O,[12*]c1ccc2n1CC[C@H]2C(=O)O,[14*]c1ccccc1",[N][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][C][O].[O][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][N][Ring1][Branch1][C][C][C@H1][Ring1][Branch1][C][=Branch1][C][=O][O],0
CCOC(=O)c1ccc(OC(=O)CCCCCNC(=N)N)cc1,"[1*]C(=O)CCCCC[3*],[2*]O[2*],[3*]CC,[4*]NC(=N)N,[1*]C([1*])=O,[14*]c1ccc([14*])cc1",[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][P][O][C][=Branch1][C][=O][C][C][C][C][C][N][C][=Branch1][C][=N][N][C][=C][Ring2][Ring1][C],0
CC(C)OC(=O)COc1ccc(Cl)cc1Cl,"[2*]O[2*],[1*]C(=O)C[3*],[3*]C(C)C,[14*]c1ccc(Cl)cc1Cl",[C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl],0
CCCCC(CC)COC(=O)COc1ccc(Cl)cc1Cl,"[3*]CC(CC)CCCC,[2*]O[2*],[1*]C(=O)C[3*],[14*]c1ccc(Cl)cc1Cl",[C][C][C][C][C][Branch1][Ring1][C][C][C][O][C][=Branch1][C][=O][C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl],0
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,"[4*]N(C)C,[14*]c1ccc(Cl)c(Cl)c1,[1*]C([1*])=O,[4*]N[4*]",[C][N][Branch1][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2],0
CCCCOC(=O)COc1ccc(Cl)cc1Cl,"[2*]O[2*],[1*]C(=O)C[3*],[14*]c1ccc(Cl)cc1Cl,[3*]CCCC",[C][C][C][C][O][C][=Branch1][C][=O][C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl],0
O=C(O)COc1ccc(Cl)cc1Cl,"[3*]CC(=O)O,[2*]O[2*],[14*]c1ccc(Cl)cc1Cl",[O][=C][Branch1][C][O][C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl],0
[N-]=[N+]=CC(=O)OC[C@H](N)C(=O)O,"[2*]O[2*],[3*]C[C@H](N)C(=O)O,[1*]C(=O)C=[N+]=[N-]",[N-1][=N+1][=C][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][N][C][=Branch1][C][=O][O],1
COP(=O)(OC)OC=C(Cl)Cl,COP(=O)(OC)OC=C(Cl)Cl,[C][O][P][=Branch1][C][=O][Branch1][Ring1][O][C][O][C][=C][Branch1][C][Cl][Cl],0
CC(Cl)CCl,CC(Cl)CCl,[C][C][Branch1][C][Cl][C][Cl],0
CCn1cc[n+](C)c1,"[7*]n1cc[n+](C)c1,[6*]CC",[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1],0
Clc1sc(Cl)c(Cl)c1Cl,Clc1sc(Cl)c(Cl)c1Cl,[Cl][C][S][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][=Ring1][#Branch1][Cl],0
ClC=CCl,ClC=CCl,[Cl][C][=C][Cl],0
O=c1[n-]c(=O)n(Cl)c(=O)n1Cl,O=c1[n-]c(=O)n(Cl)c(=O)n1Cl,[O][=C][N-1][C][=Branch1][C][=O][N][Branch1][C][Cl][C][=Branch1][C][=O][N][Ring1][=Branch2][Cl],0
O=[N+]([O-])c1cccc(Cl)c1Cl,O=[N+]([O-])c1cccc(Cl)c1Cl,[O][=N+1][Branch1][C][O-1][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][Cl],0
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,[O][=N+1][Branch1][C][O-1][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2],0
CCCCCCCC/C=C/CCCOC(C)=O,"[5*]=CCCCCCCCC,[3*]CCCC=[5*],[1*]C(C)=O,[2*]O[2*]",[C][C][C][C][C][C][C][C][/C][=C][/C][C][C][O][C][Branch1][C][C][=O],0
NCCNC(=O)c1ccc(Cl)cn1,"[12*]c1ccc(Cl)cn1,[1*]C([1*])=O,[4*]N[4*],[3*]CCN",[N][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][=N][Ring1][#Branch1],0
Nc1c2c(nc3c1CCC3)CCCC2,Nc1c2c(nc3c1CCC3)CCCC2,[N][C][=C][C][=Branch1][O][=N][C][=C][Ring1][=Branch1][C][C][C][Ring1][Branch1][C][C][C][C][Ring1][N],0
c1ccc(OCc2ccc(CCCN3CCOCC3)cc2)cc1,"[2*]O[2*],[14*]c1ccccc1,[3*]C[6*],[3*]CCC[6*],[4*]N1CCOCC1,[14*]c1ccc([14*])cc1",[C][=C][C][=C][Branch2][Ring1][Branch2][O][C][C][=C][C][=C][Branch1][N][C][C][C][N][C][C][O][C][C][Ring1][=Branch1][C][=C][Ring1][#C][C][=C][Ring2][Ring1][#Branch1],0
CC(=O)Nc1ccc(OCCOCCOc2ccc(NC(C)=O)cc2)cc1,"[3*]CC[3*],[2*]O[2*],[1*]C(C)=O,[4*]N[4*],[14*]c1ccc([14*])cc1",[C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][Branch2][O][C][C][O][C][C][O][C][=C][C][=C][Branch1][#Branch1][N][C][Branch1][C][C][=O][C][=C][Ring1][#Branch2][C][=C][Ring2][Ring1][#Branch1],0
[Fe+2].c1cc[cH-]c1.c1cc[cH-]c1,"[Fe+2],c1cc[cH-]c1",[Fe+2].[C][C][=C][CH1-1][C][=Ring1][Branch1].[C][C][=C][CH1-1][C][=Ring1][Branch1],0
Cc1cc(-c2ccc(N)c(C)c2)ccc1N,[14*]c1ccc(N)c(C)c1,[C][C][=C][C][Branch1][#C][C][=C][C][=C][Branch1][C][N][C][Branch1][C][C][=C][Ring1][Branch2][=C][C][=C][Ring1][=C][N],0
CC(C)OP(C)(=O)OC(C)C,"[3*]C(C)C,[2*]OP(C)(=O)O[2*]",[C][C][Branch1][C][C][O][P][Branch1][C][C][=Branch1][C][=O][O][C][Branch1][C][C][C],0
CC1=C(C)S(=O)(=O)CCS1(=O)=O,CC1=C(C)S(=O)(=O)CCS1(=O)=O,[C][C][=C][Branch1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][C][S][Ring1][=Branch2][=Branch1][C][=O][=O],0
COS(=O)(=O)OC,COS(=O)(=O)OC,[C][O][S][=Branch1][C][=O][=Branch1][C][=O][O][C],0
CNC,CNC,[C][N][C],0
CCCCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC,"[3*]CC(CC)CCCC,[2*]O[2*],[1*]C(=O)CCCCCCCCCCCCCCCCC",[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][Branch1][Ring1][C][C][C][C][C][C],0
CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(C)C,"[2*]O[2*],[3*]CCCCCCCCCCCCCC(C)C,[1*]C(=O)CCCCCCCCCCCCCCCCC",[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][C][C][C][C][C][C][C][C][C][C][C][C][Branch1][C][C][C],0
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-],"[3*]CCC(=O)[O-],[1*]C(=O)[C@H](O)C(C)(C)CO,[4*]N[4*]",[C][C][Branch1][C][C][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C][=Branch1][C][=O][N][C][C][C][=Branch1][C][=O][O-1],0
C1=CCC(c2ccccc2)CC1,"[6*]C1CC=CCC1,[14*]c1ccccc1",[C][=C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][N],0
Cc1ccc(-c2ccccc2)cc1,"[14*]c1ccc(C)cc1,[14*]c1ccccc1",[C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][N],0
CCC12COCN1COC2,"[11*]C12COCN1COC2,[6*]CC",[C][C][C][C][O][C][N][Ring1][Branch1][C][O][C][Ring1][Branch2],0
CC(=O)NC(CCC(N)=O)C(=O)O,"[3*]C(CCC(N)=O)C(=O)O,[4*]N[4*],[1*]C(C)=O",[C][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][Branch1][C][N][=O][C][=Branch1][C][=O][O],0
c1ccc(-c2nnn[nH]2)cc1,"[14*]c1ccccc1,[12*]c1nnn[nH]1",[C][=C][C][=C][Branch1][Branch2][C][=N][N][=N][NH1][Ring1][Branch1][C][=C][Ring1][O],0
CN(C)C(=O)CNC(=O)Cc1ccccc1,"[4*]N(C)C,[1*]C(=O)C[3*],[14*]c1ccccc1,[4*]N[4*],[1*]C(=O)C[6*]",[C][N][Branch1][C][C][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1],0
CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,"[10*]S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,[11*]C1(C)CCCO1,[3*]C[6*],[4*]N([4*])C",[C][N][Branch1][N][C][C][Branch1][C][C][C][C][C][O][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][=C][Ring1][O],0
O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl,O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl,[O][=N+1][Branch1][C][O-1][C][=C][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][Cl],0
Oc1c(Cl)ccc(Cl)c1Cl,Oc1c(Cl)ccc(Cl)c1Cl,[O][C][=C][Branch1][C][Cl][C][=C][C][Branch1][C][Cl][=C][Ring1][Branch2][Cl],0
C=C(Cl)CCl,C=C(Cl)CCl,[C][=C][Branch1][C][Cl][C][Cl],0
OC(CCl)CCl,OC(CCl)CCl,[O][C][Branch1][Ring1][C][Cl][C][Cl],0
ClC(Cl)c1ccccc1,"[6*]C(Cl)Cl,[14*]c1ccccc1",[Cl][C][Branch1][C][Cl][C][=C][C][=C][C][=C][Ring1][=Branch1],0
Cc1cc(C)c(O)c(C)c1,Cc1cc(C)c(O)c(C)c1,[C][C][=C][C][Branch1][C][C][=C][Branch1][C][O][C][Branch1][C][C][=C][Ring1][=Branch2],0
C1CCC(NC2CCCCC2)CC1,"[3*]C1CCCCC1,[4*]N[4*]",[C][C][C][C][Branch1][#Branch2][N][C][C][C][C][C][C][Ring1][=Branch1][C][C][Ring1][=N],0
Cl[Ba]Cl,Cl[Ba]Cl,[Cl][Ba][Cl],0
O=C(O)CP(=O)(O)O,O=C(O)CP(=O)(O)O,[O][=C][Branch1][C][O][C][P][=Branch1][C][=O][Branch1][C][O][O],0
O=C([O-])CC(O)(CC(=O)O)C(=O)[O-],O=C([O-])CC(O)(CC(=O)O)C(=O)[O-],[O][=C][Branch1][C][O-1][C][C][Branch1][C][O][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O-1],0
NCC1(CC(=O)O)CCCCC1,"[6*]CC(=O)O,[6*]CN,[13*]C1([13*])CCCCC1",[N][C][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][C][C][C][C][Ring1][#Branch2],0
Nc1nc[nH]n1,Nc1nc[nH]n1,[N][C][N][=C][NH1][N][=Ring1][Branch1],0
Cc1cccc2ccccc12,Cc1cccc2ccccc12,[C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1],0
O=C1CCCCCO1,O=C1CCCCCO1,[O][=C][C][C][C][C][C][O][Ring1][#Branch1],0
O=C(Cl)OCc1ccccc1,"[2*]O[2*],[14*]c1ccccc1,[1*]C(=O)Cl,[3*]C[6*]",[O][=C][Branch1][C][Cl][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1],0
CC(C)(C(=O)c1cccnc1)c1cccnc1,"[14*]c1cccnc1,[1*]C(=O)C([6*])(C)C",[C][C][Branch1][C][C][Branch1][=N][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1][C][=C][C][=C][N][=C][Ring1][=Branch1],0
c1ccc2[nH]cnc2c1,c1ccc2[nH]cnc2c1,[C][=C][C][=C][NH1][C][=N][C][Ring1][Branch1][=C][Ring1][=Branch2],0
Cc1ccccc1O,Cc1ccccc1O,[C][C][=C][C][=C][C][=C][Ring1][=Branch1][O],0
CCN(CCO)c1cccc(C)c1,"[14*]c1cccc(C)c1,[3*]CCO,[3*]CC,[4*]N([4*])[4*]",[C][C][N][Branch1][Ring2][C][C][O][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1],0
CCN(CC)c1ccccc1,"[14*]c1ccccc1,[3*]CC,[4*]N([4*])[4*]",[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],0
CC(C)=CCCC(C)=CC=O,"[5*]=C(C)C,[5*]=CC=O,[5*]=CCCC(=[5*])C",[C][C][Branch1][C][C][=C][C][C][C][Branch1][C][C][=C][C][=O],0
O=CC=Cc1ccccc1,"[5*]=Cc1ccccc1,[5*]=CC=O",[O][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1],0
O=C/C=C/c1ccccc1,"[5*]=Cc1ccccc1,[5*]=CC=O",[O][=C][/C][=C][/C][=C][C][=C][C][=C][Ring1][=Branch1],1
CC(C)SCc1ccco1,"[3*]C(C)C,[9*]S[9*],[3*]C[6*],[12*]c1ccco1",[C][C][Branch1][C][C][S][C][C][=C][C][=C][O][Ring1][Branch1],0
COC(=O)CCSCCC(=O)OC,"[1*]C(=O)CC[3*],[9*]S[9*],[2*]OC",[C][O][C][=Branch1][C][=O][C][C][S][C][C][C][=Branch1][C][=O][O][C],0
ClC(Br)Br,ClC(Br)Br,[Cl][C][Branch1][C][Br][Br],0
ClCc1ccccn1,"[6*]CCl,[12*]c1ccccn1",[Cl][C][C][=C][C][=C][C][=N][Ring1][=Branch1],0
ClCc1cccnc1,"[14*]c1cccnc1,[6*]CCl",[Cl][C][C][=C][C][=C][N][=C][Ring1][=Branch1],0
C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,"[2*]O[2*],[3*][C@H]1[C@H](O)[C@@H](O)[C@H]([3*])O[C@H]1[11*],[6*]CO,[3*][C@@H]1[C@H](O)[C@@H](O)[C@H]([3*])O[C@@H]1C,[3*][C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,[4*]N[4*],[3*][C@H]1[C@H](O)[C@@H](O)[C@H](O)O[C@H]1[11*]",[C][C@H1][O][C@H1][Branch2][Ring2][#Branch2][O][C@@H1][C@@H1][Branch1][Ring1][C][O][O][C@H1][Branch2][Ring1][Branch1][O][C@@H1][C@@H1][Branch1][Ring1][C][O][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O][C@H1][Branch1][C][O][C@H1][Ring2][Ring1][Branch1][O][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring2][Ring1][#C][N][C@H1][C][=C][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O],0
C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2,"[5*]=CC,[5*]=C1[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2",[C][/C][=C][\C@H1][C][=C][Branch1][C][C][C][C@][Ring1][#Branch1][Branch1][C][N][C][C][=C][C][=Branch1][C][=O][NH1][C][=Ring1][#Branch1][C][Ring1][#C],0
COc1cc(C)ccc1C(C)C,"[14*]c1ccc(C)cc1[14*],[6*]C(C)C,[2*]OC",[C][O][C][=C][C][Branch1][C][C][=C][C][=C][Ring1][#Branch1][C][Branch1][C][C][C],0
CC1CCC(=O)O1,CC1CCC(=O)O1,[C][C][C][C][C][=Branch1][C][=O][O][Ring1][=Branch1],0
N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,"[4*]N1[C@H](C#N)C[C@@H]2C[C@@H]21,[1*]C(=O)[C@H]([6*])N,[13*]C12CC3CC(C1)CC(O)(C3)C2",[N][#C][C@@H1][C][C@@H1][C][C@@H1][Ring1][Ring1][N][Ring1][=Branch1][C][=Branch1][C][=O][C@@H1][Branch1][C][N][C][C][C][C][C][Branch1][=C][C][C][Branch1][C][O][Branch1][Ring2][C][Ring1][#Branch1][C][Ring1][#Branch2][C][Ring1][O],0
CC1CC(O)CC(C)(C)C1,CC1CC(O)CC(C)(C)C1,[C][C][C][C][Branch1][C][O][C][C][Branch1][C][C][Branch1][C][C][C][Ring1][=Branch2],0
NC(=O)NC(N)=O,"[1*]C(N)=O,[4*]N[4*]",[N][C][=Branch1][C][=O][N][C][Branch1][C][N][=O],0
CC(C)CC(C)O,CC(C)CC(C)O,[C][C][Branch1][C][C][C][C][Branch1][C][C][O],0
CC1COC(=O)O1,CC1COC(=O)O1,[C][C][C][O][C][=Branch1][C][=O][O][Ring1][=Branch1],0
