smiles,smi_fragments,selfies,selfies_fragments,CT_TOX
c1c(cc(c(c1NC(=O)C(=O)[O-])Cl)NC(=O)C(=O)[O-])C#N,"['[1C]C(=O)C(=O)[O-]', '[14C]c1cc(C#N)cc([14C])c1Cl', '[4C]N[4C]']",[C][=C][Branch2][Ring1][P][C][=C][Branch2][Ring1][C][C][=Branch1][=C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=Branch1][C][=O][O-1][Cl][N][C][=Branch1][C][=O][C][=Branch1][C][=O][O-1][C][#N],"['[1C][C][=Branch1][C][=O][C][=Branch1][C][=O][O-1]', '[14C][C][=C][C][Branch1][Ring1][C][#N][=C][C][Branch1][C][14C][=C][Ring1][=Branch2][Cl]', '[4C][N][4C]']",0
c1c(cc(c(c1O)O)O)C(=O)Oc2cc(cc(c2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)c4cc(c(c(c4)OC(=O)c5cc(c(c(c5)O)O)O)O)O)OC(=O)c6cc(c(c(c6)OC(=O)c7cc(c(c(c7)O)O)O)O)O)OC(=O)c8cc(c(c(c8)OC(=O)c9cc(c(c(c9)O)O)O)O)O)OC(=O)c1cc(c(c(c1)OC(=O)c1cc(c(c(c1)O)O)O)O)O,"['[14C]c1cc(O)c(O)c(O)c1', '[3C]C[6C]', '[14C]c1cc([14C])c(O)c(O)c1', '[2C]O[2C]', '[1C]C([1C])=O', '[3C][C@@H]1O[C@H]([11C])[C@@H]([3C])[C@H]([3C])[C@H]1[3C]']",[C][=C][Branch1][=C][C][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][O][C][=Branch1][C][=O][O][C][=C][C][=Branch1][#Branch2][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][C][=Branch1][C][=O][O][C][C@@H1][C@H1][Branch2][O][=Branch1][C@@H1][Branch2][Branch2][Branch1][C@H1][Branch2][Branch1][Ring2][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C][=Branch1][C][=O][C][=C][C][=Branch2][Ring2][C][=C][Branch2][Ring1][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][O][O][O][O][O][C][=Branch1][C][=O][C][=C][C][=Branch2][Ring2][C][=C][Branch2][Ring1][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][O][O][O][O][O][C][=Branch1][C][=O][C][=C][C][=Branch2][Ring2][C][=C][Branch2][Ring1][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][O][O][O][O][O][C][=Branch1][C][=O][C][=C][C][=Branch2][Ring2][C][=C][Branch2][Ring1][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][O][O][O][O],"['[14C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][=Branch2]', '[3C][C][6C]', '[14C][C][=C][C][Branch1][C][14C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][=Branch2]', '[2C][O][2C]', '[1C][C][Branch1][C][1C][=O]', '[3C][C@@H1][O][C@H1][Branch1][C][11C][C@@H1][Branch1][C][3C][C@H1][Branch1][C][3C][C@H1][Ring1][=Branch2][3C]']",0
c1c(cc(c(c1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,['NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1'],[C][=C][Branch2][Ring1][Branch1][C][=C][Branch1][S][C][=Branch1][N][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][Cl][Cl][S][=Branch1][C][=O][=Branch1][C][=O][N],['[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][=C][Ring1][N]'],0
C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Ca+2],"['[Ca+2]', '[3C]C[6C]', '[11C]C1CNc2[nH]c(N)nc(=O)c2N1C=O', '[1C]C([1C])=O', '[4C]N[4C]', '[14C]c1ccc([14C])cc1', '[3C][C@@H](CCC(=O)[O-])C(=O)[O-]']",[C][C][Branch2][Ring1][Branch2][N][Branch2][Ring1][C][C][=C][Branch1][Ring2][N][Ring1][=Branch1][N][C][=Branch1][=Branch1][=N][C][Ring1][#Branch1][=O][N][C][=O][C][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1].[Ca+2],"['[Ca+2]', '[3C][C][6C]', '[11C][C][C][N][C][NH1][C][Branch1][C][N][=N][C][=Branch1][C][=O][C][=Ring1][Branch2][N][Ring1][N][C][=O]', '[1C][C][Branch1][C][1C][=O]', '[4C][N][4C]', '[14C][C][=C][C][=C][Branch1][C][14C][C][=C][Ring1][#Branch1]', '[3C][C@@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1]']",1
C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,"['[3C]C[6C]', '[3C][C@@H](CCC(=O)O)C(=O)O', '[11C]C1CNc2[nH]c(N)nc(=O)c2N1C=O', '[1C]C([1C])=O', '[4C]N[4C]', '[14C]c1ccc([14C])cc1']",[C][C][Branch2][Ring1][Branch2][N][Branch2][Ring1][C][C][=C][Branch1][Ring2][N][Ring1][=Branch1][N][C][=Branch1][=Branch1][=N][C][Ring1][#Branch1][=O][N][C][=O][C][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O],"['[3C][C][6C]', '[3C][C@@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O]', '[11C][C][C][N][C][NH1][C][Branch1][C][N][=N][C][=Branch1][C][=O][C][=Ring1][Branch2][N][Ring1][N][C][=O]', '[1C][C][Branch1][C][1C][=O]', '[4C][N][4C]', '[14C][C][=C][C][=C][Branch1][C][14C][C][=C][Ring1][#Branch1]']",1
c1c(nc(s1)[NH+]=C(N)N)CSCCC(=NS(=O)(=O)N)N,"['[9C]S[9C]', '[12C]c1csc([NH+]=C(N)N)n1', '[3C]C[6C]', '[3C]CCC(N)=NS(N)(=O)=O']",[C][=C][Branch1][=C][N][=C][Branch1][Ring2][S][Ring1][Branch1][NH1+1][=C][Branch1][C][N][N][C][S][C][C][C][=Branch1][#Branch2][=N][S][=Branch1][C][=O][=Branch1][C][=O][N][N],"['[9C][S][9C]', '[12C][C][=C][S][C][Branch1][#Branch1][NH1+1][=C][Branch1][C][N][N][=N][Ring1][=Branch2]', '[3C][C][6C]', '[3C][C][C][C][Branch1][C][N][=N][S][Branch1][C][N][=Branch1][C][=O][=O]']",0
c1c(nc(s1)N)/C(=C/CC(=O)[O-])/C(=O)N[C@H]2[C@@H]3N(C2=O)C(=CCS3)C(=O)[O-],"['[5C]=CCC(=O)[O-]', '[3C][C@@H]1C(=O)N2C(C(=O)[O-])=CCS[C@H]12', '[1C]C(=O)C(=[5C])c1csc(N)n1', '[4C]N[4C]']",[C][=C][Branch1][=Branch2][N][=C][Branch1][Ring2][S][Ring1][Branch1][N][/C][=Branch1][Branch2][=C][/C][C][=Branch1][C][=O][O-1][/C][=Branch1][C][=O][N][C@H1][C@@H1][N][Branch1][Branch1][C][Ring1][Ring2][=O][C][=Branch1][=Branch1][=C][C][S][Ring1][Branch2][C][=Branch1][C][=O][O-1],"['[5C][=C][C][C][=Branch1][C][=O][O-1]', '[3C][C@@H1][C][=Branch1][C][=O][N][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][=C][C][S][C@H1][Ring1][N][Ring1][=Branch2]', '[1C][C][=Branch1][C][=O][C][=Branch1][C][=5C][C][=C][S][C][Branch1][C][N][=N][Ring1][=Branch1]', '[4C][N][4C]']",0
C1C(O1)CCl,"['[11C]C1CO1', '[6C]CCl']",[C][C][Branch1][Ring2][O][Ring1][Ring1][C][Cl],"['[11C][C][C][O][Ring1][Ring1]', '[6C][C][Cl]']",0
c1c2c([nH]n1)ncnc2O,['Oc1ncnc2[nH]ncc12'],[C][C][=C][Branch1][Branch1][NH1][N][=Ring1][Branch1][N][=C][N][=C][Ring1][Branch2][O],['[O][C][=N][C][=N][C][NH1][N][=C][C][Ring1][=Branch2][=Ring1][Branch1]'],0
c1c2c(c(c(c1[131I])[O-])[131I])Oc3c(cc(c(c3[131I])[O-])[131I])C24c5c(c(c(c(c5Cl)Cl)Cl)Cl)C(=O)O4,['O=C1OC2(c3cc([131I])c([O-])c([131I])c3Oc3c2cc([131I])c([O-])c3[131I])c2c(Cl)c(Cl)c(Cl)c(Cl)c21'],[C][=C][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][131I][O-1][131I][O][C][=C][Branch1][=C][C][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][131I][O-1][131I][C][Ring2][Ring1][Ring1][C][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][C][=Branch1][C][=O][O][Ring1][=C],['[O][=C][O][C][Branch2][Ring2][Ring2][C][=C][C][Branch1][C][131I][=C][Branch1][C][O-1][C][Branch1][C][131I][=C][Ring1][=Branch2][O][C][=C][Ring1][=N][C][=C][Branch1][C][131I][C][Branch1][C][O-1][=C][Ring1][Branch2][131I][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][#Branch2][Ring2][Ring1][S]'],0
c1c2c(c(c(c1F)N3CCCC[C@H](C3)[NH3+])Cl)n(cc(c2=O)C(=O)[O-])C4CC4,"['[4C]N1CCCC[C@@H]([NH3+])C1', '[1C]C(=O)[O-]', '[6C]C1CC1', '[7C]n1cc([14C])c(=O)c2cc(F)c([14C])c(Cl)c21']",[C][=C][C][=Branch2][Ring1][=Branch2][=C][Branch2][Ring1][Ring2][C][=Branch1][Branch1][=C][Ring1][=Branch1][F][N][C][C][C][C][C@H1][Branch1][Ring2][C][Ring1][#Branch1][NH3+1][Cl][N][Branch1][#C][C][=C][Branch1][=Branch1][C][Ring2][Ring1][Ring1][=O][C][=Branch1][C][=O][O-1][C][C][C][Ring1][Ring1],"['[4C][N][C][C][C][C][C@@H1][Branch1][C][NH3+1][C][Ring1][Branch2]', '[1C][C][=Branch1][C][=O][O-1]', '[6C][C][C][C][Ring1][Ring1]', '[7C][N][C][=C][Branch1][C][14C][C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][14C][C][Branch1][C][Cl][=C][Ring1][=Branch2][Ring1][#C]']",0
c1c2c(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl,"['[6C]C(Cl)Cl', '[11C]C1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1']",[C][=C][C][=Branch1][P][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][S][=Branch1][C][=O][=Branch1][C][=O][N][S][=Branch1][C][=O][=Branch1][C][=O][N][C][Branch1][Ring2][N][Ring1][S][C][Branch1][C][Cl][Cl],"['[6C][C][Branch1][C][Cl][Cl]', '[11C][C][N][C][=C][C][Branch1][C][Cl][=C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][C][=C][Ring1][O][S][=Branch1][C][=O][=Branch1][C][=O][N][Ring1][P]']",0
c1c2c(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C3CC4CC3C=C4,"['[6C]C1CC2C=CC1C2', '[11C]C1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1']",[C][=C][C][=Branch1][P][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][S][=Branch1][C][=O][=Branch1][C][=O][N][S][=Branch1][C][=O][=Branch1][C][=O][N][C][Branch1][Ring2][N][Ring1][S][C][C][C][C][C][Ring1][Branch1][C][=C][Ring1][Branch1],"['[6C][C][C][C][C][=C][C][Ring1][=Branch1][C][Ring1][Branch1]', '[11C][C][N][C][=C][C][Branch1][C][Cl][=C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][C][=C][Ring1][O][S][=Branch1][C][=O][=Branch1][C][=O][N][Ring1][P]']",0
c1c2c(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)NCN2,['NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O'],[C][=C][C][=Branch1][P][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][S][=Branch1][C][=O][=Branch1][C][=O][N][S][=Branch1][C][=O][=Branch1][C][=O][N][C][N][Ring1][S],['[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][N][C][N][S][Ring1][=Branch2][=Branch1][C][=O][=O]'],0
c1c2c(cc(c1F)N3CC[NH2+]CC3)n(cc(c2=O)C(=O)[O-])C4CC4,"['[7C]n1cc([14C])c(=O)c2cc(F)c([14C])cc21', '[1C]C(=O)[O-]', '[6C]C1CC1', '[4C]N1CC[NH2+]CC1']",[C][=C][C][=Branch1][P][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][F][N][C][C][NH2+1][C][C][Ring1][=Branch1][N][Branch1][=C][C][=C][Branch1][Branch1][C][Ring1][S][=O][C][=Branch1][C][=O][O-1][C][C][C][Ring1][Ring1],"['[7C][N][C][=C][Branch1][C][14C][C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][C][14C][C][=C][Ring1][Branch2][Ring1][=C]', '[1C][C][=Branch1][C][=O][O-1]', '[6C][C][C][C][Ring1][Ring1]', '[4C][N][C][C][NH2+1][C][C][Ring1][=Branch1]']",0
C1C2CC3CC1CC(C2)(C3)[NH3+],['[NH3+]C12CC3CC(CC(C3)C1)C2'],[C][C][C][C][C][C][Ring1][=Branch1][C][C][Branch1][Ring2][C][Ring1][Branch2][Branch1][Ring2][C][Ring1][#Branch1][NH3+1],['[NH3+1][C][C][C][C][C][Branch1][O][C][C][Branch1][Ring2][C][Ring1][=Branch1][C][Ring1][=Branch2][C][Ring1][#Branch2]'],0
c1c2=N/C(=C/3\C=CON3)/N=c2c4c(n1)CCOC4,['C1=C/C(=C2\\N=c3cnc4c(c3=N2)COCC4)NO1'],[C][C][=N][/C][=Branch1][Branch2][=C][\C][=C][O][N][/-Ring1][Branch1][/N][=C][Ring1][#Branch2][C][=C][Branch1][Ring2][N][=Ring1][=C][C][C][O][C][Ring1][#Branch1],['[C][=C][/C][=Branch2][Ring1][=Branch1][=C][\\N][=C][C][=N][C][=C][Branch1][#Branch1][C][Ring1][=Branch1][=N][Ring1][=Branch2][C][O][C][C][Ring1][Branch2][N][O][Ring2][Ring1][C]'],0
C1C[NH+]=C(N[C@H]1[C@H]2C(=O)NC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N/C(=C/NC(=O)N)/C(=O)N2)CNC(=O)C[C@H](CCC[NH3+])[NH3+])CO)[NH3+])N,"['[4C]NC=C([11C])[11C]', '[4C]N[4C]', '[6C]C[C@H]([13C])[NH3+]', '[3C]C[6C]', '[6C]CO', '[1C]C(=O)C[C@@H]([NH3+])CCC[NH3+]', '[8C]N[8C]', '[1C]C([1C])=O', '[6C][C@@H]1CC[NH+]=C(N)N1', '[6C]C([11C])[11C]', '[1C]C(N)=O']",[C][C][NH1+1][=C][Branch2][=Branch1][O][N][C@H1][Ring1][=Branch1][C@H1][C][=Branch1][C][=O][N][C][C@@H1][Branch2][Branch1][O][C][=Branch1][C][=O][N][C@H1][Branch2][Ring2][S][C][=Branch1][C][=O][N][C@H1][Branch2][Ring1][Branch2][C][=Branch1][C][=O][N][/C][=Branch1][Branch2][=C][/N][C][=Branch1][C][=O][N][/C][=Branch1][C][=O][N][Ring2][Ring1][#Branch2][C][N][C][=Branch1][C][=O][C][C@H1][Branch1][Branch1][C][C][C][NH3+1][NH3+1][C][O][NH3+1][N],"['[4C][N][C][=C][Branch1][C][11C][11C]', '[4C][N][4C]', '[6C][C][C@H1][Branch1][C][13C][NH3+1]', '[3C][C][6C]', '[6C][C][O]', '[1C][C][=Branch1][C][=O][C][C@@H1][Branch1][C][NH3+1][C][C][C][NH3+1]', '[8C][N][8C]', '[1C][C][Branch1][C][1C][=O]', '[6C][C@@H1][C][C][NH1+1][=C][Branch1][C][N][N][Ring1][#Branch1]', '[6C][C][Branch1][C][11C][11C]', '[1C][C][Branch1][C][N][=O]']",0
c1c[nH+]ccc1N,['Nc1cc[nH+]cc1'],[C][=C][NH1+1][=C][C][=C][Ring1][=Branch1][N],['[N][C][=C][C][=NH1+1][C][=C][Ring1][=Branch1]'],0
c1c[nH]nc1CC[NH3+],"['[6C]CC[NH3+]', '[12C]c1cc[nH]n1']",[C][=C][NH1][N][=C][Ring1][Branch1][C][C][NH3+1],"['[6C][C][C][NH3+1]', '[12C][C][C][=C][NH1][N][=Ring1][Branch1]']",0
c1cc(c(c(c1)C(=O)c2ccc(cc2)Br)N)CC(=O)[O-],"['[14C]c1ccc(Br)cc1', '[1C]C([1C])=O', '[6C]CC(=O)[O-]', '[14C]c1cccc([14C])c1N']",[C][=C][C][=Branch2][Ring1][O][=C][Branch2][Ring1][=Branch1][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Br][N][C][C][=Branch1][C][=O][O-1],"['[14C][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1]', '[1C][C][Branch1][C][1C][=O]', '[6C][C][C][=Branch1][C][=O][O-1]', '[14C][C][=C][C][=C][C][Branch1][C][14C][=C][Ring1][#Branch1][N]']",0
c1cc(c(c(c1)Cl)CC(=O)[NH+]=C(N)N)Cl,"['[6C]CC(=O)[NH+]=C(N)N', '[14C]c1c(Cl)cccc1Cl']",[C][=C][C][=Branch2][Ring1][=Branch1][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][C][C][=Branch1][C][=O][NH1+1][=C][Branch1][C][N][N][Cl],"['[6C][C][C][=Branch1][C][=O][NH1+1][=C][Branch1][C][N][N]', '[14C][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][Cl]']",0
c1cc(c(c(c1)Cl)Cl)c2c(nc(nn2)N)N,"['[12C]c1nnc(N)nc1N', '[14C]c1cccc(Cl)c1Cl']",[C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl][C][=C][Branch1][#Branch2][N][=C][Branch1][Branch1][N][=N][Ring1][=Branch1][N][N],"['[12C][C][=N][N][=C][Branch1][C][N][N][=C][Ring1][#Branch1][N]', '[14C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][Cl]']",0
c1cc(c(c(c1)Cl)Cl)N2CC[NH+](CC2)CCCCOc3ccc4c(c3)NC(=O)CC4,"['[3C]CCCC[3C]', '[4C]N1CC[NH+]([4C])CC1', '[14C]c1ccc2c(c1)NC(=O)CC2', '[2C]O[2C]', '[14C]c1cccc(Cl)c1Cl']",[C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl][N][C][C][NH1+1][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][C][C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][Ring1][Branch2],"['[3C][C][C][C][C][3C]', '[4C][N][C][C][NH1+1][Branch1][C][4C][C][C][Ring1][#Branch1]', '[14C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][Ring1][Branch2]', '[2C][O][2C]', '[14C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][Cl]']",0
c1cc(c(c(c1)Cl)NC2=[NH+]CCN2)Cl,"['[4C]NC1=[NH+]CCN1', '[14C]c1c(Cl)cccc1Cl']",[C][=C][C][=Branch2][Ring1][Ring1][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][N][C][=NH1+1][C][C][N][Ring1][Branch1][Cl],"['[4C][N][C][=NH1+1][C][C][N][Ring1][Branch1]', '[14C][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][Cl]']",0
c1cc(c(c(c1)Cl)SC(CCc2ccc(cc2)Cl)Cn3ccnc3)Cl,"['[7C]n1ccnc1', '[9C]S[9C]', '[14C]c1ccc(Cl)cc1', '[14C]c1c(Cl)cccc1Cl', '[3C]C(C[6C])CC[6C]']",[C][=C][C][=Branch2][Ring2][Ring2][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][S][C][Branch1][=C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][C][N][C][=C][N][=C][Ring1][Branch1][Cl],"['[7C][N][C][=C][N][=C][Ring1][Branch1]', '[9C][S][9C]', '[14C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1]', '[14C][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][Cl]', '[3C][C][Branch1][Ring1][C][6C][C][C][6C]']",0
c1cc(c(c(c1)F)Cn2cc(nn2)C(=O)N)F,"['[6C]C[6C]', '[7C]n1cc([12C])nn1', '[14C]c1c(F)cccc1F', '[1C]C(N)=O']",[C][=C][C][=Branch2][Ring1][#Branch2][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][F][C][N][C][=C][Branch1][Branch1][N][=N][Ring1][Branch1][C][=Branch1][C][=O][N][F],"['[6C][C][6C]', '[7C][N][C][=C][Branch1][C][12C][N][=N][Ring1][=Branch1]', '[14C][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][F]', '[1C][C][Branch1][C][N][=O]']",0
c1cc(c(c2c1[NH+]=C3NC(=O)CN3C2)Cl)Cl,['O=C1CN2Cc3c(ccc(Cl)c3Cl)[NH+]=C2N1'],[C][=C][C][=Branch2][Ring1][Branch2][=C][Branch2][Ring1][Ring1][C][=C][Ring1][=Branch1][NH1+1][=C][N][C][=Branch1][C][=O][C][N][Ring1][=Branch1][C][Ring1][#Branch2][Cl][Cl],['[O][=C][C][N][C][C][=C][Branch1][O][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][Cl][NH1+1][=C][Ring1][N][N][Ring1][#C]'],0
c1cc(c(c2c1nccn2)Br)NC3=[NH+]CCN3,"['[14C]c1ccc2nccnc2c1Br', '[4C]NC1=[NH+]CCN1']",[C][=C][C][=Branch1][#C][=C][Branch1][O][C][=C][Ring1][=Branch1][N][=C][C][=N][Ring1][=Branch1][Br][N][C][=NH1+1][C][C][N][Ring1][Branch1],"['[14C][C][=C][C][=C][N][=C][C][=N][C][Ring1][=Branch1][=C][Ring1][#Branch2][Br]', '[4C][N][C][=NH1+1][C][C][N][Ring1][Branch1]']",0
c1cc(c(c2c1nsn2)NC3=[NH+]CCN3)Cl,"['[14C]c1c(Cl)ccc2nsnc12', '[4C]NC1=[NH+]CCN1']",[C][=C][C][=Branch2][Ring1][Branch1][=C][Branch1][#Branch2][C][C][Ring1][=Branch1][=N][S][N][=Ring1][Branch1][N][C][=NH1+1][C][C][N][Ring1][Branch1][Cl],"['[14C][C][=C][Branch1][C][Cl][C][=C][C][=N][S][N][=C][Ring1][#Branch2][Ring1][Branch1]', '[4C][N][C][=NH1+1][C][C][N][Ring1][Branch1]']",0
c1cc(c(cc1/N=N/c2ccc(c(c2)C(=O)[O-])O)C(=O)[O-])O,"['[1C]C(=O)[O-]', '[14C]c1cc(/N=N/c2ccc(O)c([14C])c2)ccc1O']",[C][=C][C][=Branch2][Ring2][C][=C][Branch2][Ring1][=Branch2][C][=C][Ring1][=Branch1][/N][=N][/C][=C][C][=C][Branch1][N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][O][C][=Branch1][C][=O][O-1][O],"['[1C][C][=Branch1][C][=O][O-1]', '[14C][C][=C][C][Branch1][P][/N][=N][/C][=C][C][=C][Branch1][C][O][C][Branch1][C][14C][=C][Ring1][Branch2][=C][C][=C][Ring1][S][O]']",0
c1cc(c(cc1[C@H](C[NH3+])O)O)O,"['[6C][C@@H](O)C[NH3+]', '[14C]c1ccc(O)c(O)c1']",[C][=C][C][=Branch1][#C][=C][Branch1][O][C][=C][Ring1][=Branch1][C@H1][Branch1][Ring1][C][NH3+1][O][O][O],"['[6C][C@@H1][Branch1][C][O][C][NH3+1]', '[14C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2]']",0
c1cc(c(cc1[N+](=O)[O-])Cl)NC(=O)c2cc(ccc2O)Cl,"['[14C]c1cc(Cl)ccc1O', '[4C]N[4C]', '[1C]C([1C])=O', '[14C]c1ccc([N+](=O)[O-])cc1Cl']",[C][=C][C][=Branch1][=C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][Cl][N][C][=Branch1][C][=O][C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][O][Cl],"['[14C][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][O]', '[4C][N][4C]', '[1C][C][Branch1][C][1C][=O]', '[14C][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][Cl]']",0
c1cc(c(cc1C(F)(F)F)[N+](=O)[O-])C(=O)[C-]2C(=O)CCCC2=O,"['[1C]C([1C])=O', '[13C][C-]1C(=O)CCCC1=O', '[6C]C(F)(F)F', '[14C]c1ccc([14C])c([N+](=O)[O-])c1']",[C][=C][C][=Branch2][Ring1][Branch1][=C][Branch1][=N][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][N+1][=Branch1][C][=O][O-1][C][=Branch1][C][=O][C-1][C][=Branch1][C][=O][C][C][C][C][Ring1][#Branch1][=O],"['[1C][C][Branch1][C][1C][=O]', '[13C][C-1][C][=Branch1][C][=O][C][C][C][C][Ring1][#Branch1][=O]', '[6C][C][Branch1][C][F][Branch1][C][F][F]', '[14C][C][=C][C][=C][Branch1][C][14C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][#Branch2]']",0
